Concentration,experiment,intensity_mz126_11,StN
1,a,3,1.224489796
1,a,4,1.632653061
1,a,3,1.224489796
1,a,4,1.632653061
1,a,7,2.857142857
1,a,2,0.816326531
1,a,7,2.857142857
1,a,37,15.10204082
1,a,6,2.448979592
1,a,2,0.816326531
1,a,13,1.011
1,b,1,0.493
1,b,39,19.212
1,b,10,4.926
1,b,8,3.941
1,b,3,1.478
1,b,2,0.985
1,b,42,20.69
1,b,5,2.463
1,b,4,1.97
1,b,13,6.404
1,b,3,1.478
1,c,0,3.03
1,c,22,11.111
1,c,8,4.04
1,c,0,2.525
1,c,13,7.576
1,c,14,8.586
1,c,0,2.02
1,c,24,12.626
1,c,0,1.515
1,c,6,3.03
1,c,9,4.545
10,a,93,37.959
10,a,15,6.122
10,a,50,20.408
10,a,51,20.816
10,a,52,21.224
10,a,30,12.245
10,a,40,16.327
10,a,54,22.041
10,a,25,10.204
10,a,9,3.673
10,a,26,10.612
10,b,93,39.744
10,b,8,3.419
10,b,26,11.111
10,b,40,17.094
10,b,37,15.812
10,b,65,27.778
10,b,60,25.641
10,b,20,8.547
10,b,3,1.282
10,b,7,2.991
10,b,25,10.684
10,c,43,17.269
10,c,47,18.876
10,c,86,34.538
10,c,27,10.843
10,c,57,22.892
10,c,34,13.655
10,c,1,0.402
10,c,45,18.072
10,c,108,43.373
10,c,40,16.064
10,c,27,10.843
50,a,134,52.756
50,a,201,79.134
50,a,188,74.016
50,a,226,88.976
50,a,61,24.016
50,a,368,144.882
50,a,55,21.654
50,a,353,138.976
50,a,330,129.921
50,a,373,146.85
50,a,163,64.173
50,b,77,30.315
50,b,631,248.425
50,b,219,86.22
50,b,115,45.276
50,b,22,8.661
50,b,51,20.079
50,b,149,58.661
50,b,51,20.079
50,b,34,13.386
50,b,374,147.244
50,b,60,23.622
50,c,120,30.691
50,c,126,32.225
50,c,273,69.821
50,c,380,97.187
50,c,23,5.882
50,c,147,37.596
50,c,172,43.99
50,c,85,21.739
50,c,377,96.419
50,c,79,20.205
50,c,207,52.941
100,a,879,192.341
100,a,70,15.317
100,a,325,71.116
100,a,498,108.972
100,a,394,86.214
100,a,746,163.239
100,a,672,147.046
100,a,1358,297.155
100,a,687,150.328
100,a,528,115.536
100,a,139,30.416
100,b,165,58.304
100,b,1175,415.194
100,b,380,134.276
100,b,155,54.77
100,b,970,342.756
100,b,81,28.622
100,b,205,72.438
100,b,349,123.322
100,b,44,15.548
100,b,454,160.424
100,b,236,83.392
100,c,562,97.909
100,c,421,73.345
100,c,575,100.174
100,c,17,2.962
100,c,196,34.146
100,c,83,14.46
100,c,425,74.042
100,c,491,85.54
100,c,273,47.561
100,c,724,126.132
100,c,646,112.544
500,a,1049,96.95
500,a,2404,222.181
500,a,3957,365.712
500,a,4499,415.804
500,a,4480,414.048
500,a,3109,287.338
500,a,1471,135.952
500,a,1412,130.499
500,a,3922,362.477
500,a,1841,170.148
500,a,3806,351.756
500,b,3023,128.311
500,b,1859,78.905
500,b,1271,53.947
500,b,2446,103.82
500,b,3374,143.209
500,b,5154,218.761
500,b,3008,127.674
500,b,4032,171.138
500,b,3164,134.295
500,b,2773,117.699
500,b,1960,83.192
500,c,1331,71.176
500,c,973,52.032
500,c,1224,65.455
500,c,2899,155.027
500,c,1149,61.444
500,c,5028,268.877
500,c,1481,79.198
500,c,3500,187.166
500,c,1444,77.219
500,c,1767,94.492
500,c,3234,172.941
